F2	F2R
ACTB	ARPC5
ACTB	ARPC4
ACTB	ARPC3
ACTB	ARPC1B
ACTB	ACTR3
ACTB	ACTR2
ACTB	ARPC2
ACTB	ARPC1A
ACTB	ACTR3B
ACTB	ACTR3C
ACTB	ARPC5L
ACTB	TMSB4X
ACTB	TMSB4Y
ACTG1	PFN3
ACTG1	PFN4
ACTG1	PFN1
ACTG1	PFN2
ACTG1	CFL1
ACTG1	CFL2
ACTG1	ARPC5
ACTG1	ARPC4
ACTG1	ARPC3
ACTG1	ARPC1B
ACTG1	ACTR3
ACTG1	ACTR2
ACTG1	ARPC2
ACTG1	ARPC1A
ACTG1	ACTR3B
ACTG1	ACTR3C
ACTG1	ARPC5L
ACTG1	TMSB4X
ACTG1	TMSB4Y
MYH9	ACTB
MYH9	ACTG1
MYH9	MYL12B
MYH9	MYL9
MYH9	MYL12A
MYH9	MYL11
MYH9	MYL2
MYH9	MYL5
MYH9	MYL7
MYH9	MYL10
MYH10	ACTB
MYH10	ACTG1
MYH10	MYL12B
MYH10	MYL9
MYH10	MYL12A
MYH10	MYL11
MYH10	MYL2
MYH10	MYL5
MYH10	MYL7
MYH10	MYL10
MYH11	ACTB
MYH11	ACTG1
MYH11	MYL12B
MYH11	MYL9
MYH11	MYL12A
MYH11	MYL11
MYH11	MYL2
MYH11	MYL5
MYH11	MYL7
MYH11	MYL10
MYH14	ACTB
MYH14	ACTG1
MYH14	MYL12B
MYH14	MYL9
MYH14	MYL12A
MYH14	MYL11
MYH14	MYL2
MYH14	MYL5
MYH14	MYL7
MYH14	MYL10
CXCR4	GNA13
CXCR4	GNA12
LPAR1	GNA13
LPAR1	GNA12
LPAR4	GNA13
LPAR4	GNA12
LPAR5	GNA13
LPAR5	GNA12
LPAR2	GNA13
LPAR2	GNA12
CXCL12	CXCR4
KNG1	CHRM1
KNG1	CHRM2
KNG1	CHRM3
KNG1	CHRM4
KNG1	CHRM5
KNG1	BDKRB1
KNG1	BDKRB2
C5	AKT3
C5	AKT1
C5	AKT2
C6	AKT3
C6	AKT1
C6	AKT2
C7	AKT3
C7	AKT1
C7	AKT2
C8A	AKT3
C8A	AKT1
C8A	AKT2
C8B	AKT3
C8B	AKT1
C8B	AKT2
C8G	AKT3
C8G	AKT1
C8G	AKT2
C9	AKT3
C9	AKT1
C9	AKT2
AKT3	RGCC
AKT1	RGCC
AKT2	RGCC
RGCC	RHOA
